도서관코드,도서관_부지면적,도서관_건물_연면적,도서관_서비스_제공면적,총좌석수,어린이_열람석,노인및장애인_열람석
20601110039,451.69,436.47,370.28,78,25,8
2060141283,808,2307,656,140,68,1
2060121005,2985.43,2985.43,1817.43,408,43,3
2060146018,6654,2457,1879,330,60,5
2060141107,2566,1580,885,197,25,1
2060143007,1156,679,354,40,12,0
2060123030,29552,1840,836.71,96,0,8
2060121033,903,1882.03,1447.5,198,50,1
2060131012,32680.7,15176.65,6178.36,839,221,34
2050131004,9865,4441.76,2303.77,293,89,16
2060142023,4695,821.99,770.99,136,24,24
2060111034,701.1,1978.02,1124.22,181,77,4
2060141150,2260.84,1607.84,907,280,77,1
2060141229,3938,304,293,58,10,5
2060125025,1456,3584.76,993,323,51,12
2060125009,29063,2465.82,1119,157,26,2
2060123035,330.4,726.53,343.3,104,35,1
2060125015,1041,1010,509.58,104,71,1
2060123019,17043,1683,737,250,21,26
20601110010,605.9,313.74,293.22,63,25,4
2060124012,3304,2844,1042,362,100,8
2060148016,16529,6825,3337,578,46,1
2060141121,4543,1483.1,1431.5,86,44,1
2060125027,711.3,1455.69,800.11,227,34,1
2060141219,2151,1287,607,121,70,0
2060121016,8000,7371,2760,637,132,29
20601110006,565,283.31,225.7,53,18,0
2060144036,6043,1762,952,141,47,0
2050149005,4889,2040.57,1478.04,100,20,1
2050149001,24788.6,6189.63,4162.98,777,400,2
2060141119,1295,942,660,113,49,1
2060111072,801.7,752.73,580,210,110,41
2060144037,4007,991.12,743.62,133,81,1
2060124017,2619.6,2914.44,1709.07,344,98,3
